period,quarter,year,short_asset,cash,short_invest,short_receivable,inventory,long_asset,fixed_asset,asset,debt,short_debt,long_debt,equity,capital,other_debt,un_distributed_income,minor_share_holder_profit,payable
2017-Q3,3,2017,18889,668,9792,4629,3675,12706,8274,31596,7567,220,298,24029,14515,609,,18,7567
2017-Q2,2,2017,20678,591,11452,4303,4182,11277,8135,31955,7202,108,327,24753,14515,605,,232,7202
2017-Q1,1,2017,20172,2217,10320,3608,3921,10897,8261,31069,6049,174,327,25019,14515,612,,237,6049
2016-Q4,4,2016,18674,655,10454,2867,4522,10705,8321,29379,6973,1333,327,22406,14515,592,,237,6973
2016-Q3,3,2016,17323,773,8935,3624,3919,10334,8136,27657,6902,1336,344,20755,14515,685,,234,6902
2016-Q2,2,2016,19514,3060,8630,3368,4385,10284,8228,29798,6851,1366,345,22947,12007,682,,233,6851
2016-Q1,1,2016,18004,1228,9305,3371,4030,11065,8197,29069,6196,1499,256,22873,12007,648,,234,6196
2015-Q4,4,2015,16732,1359,8668,2685,3810,10746,8214,27478,6554,1475,368,20924,12007,644,,231,6554
2015-Q3,3,2015,15030,1410,6919,2984,3658,10929,7841,25959,6742,1359,376,19217,12007,635,,228,6742
2015-Q2,2,2015,16603,1854,7857,3034,3785,10621,8011,27224,5951,873,339,21272,10006,622,,213,5951
2015-Q1,1,2015,16641,1228,8469,2942,3925,10362,8046,27003,5742,923,344,21261,10006,669,,179,5742
2014-Q4,4,2014,15522,1528,7468,2772,3620,10248,8890,25770,5970,1280,346,19680,10006,598,,0,5970
2014-Q3,3,2014,12809,670,6010,2536,3536,11099,8849,23908,5663,1274,350,18122,10006,638,,0,5663
2014-Q2,2,2014,13778,1220,5917,2239,4260,9956,8821,23734,5120,67,327,18552,8340,599,,0,5120
2014-Q1,1,2014,13567,1193,5776,2589,3799,9698,8795,23264,4404,178,190,18796,8340,671,,0,4404
2013-Q4,4,2013,13019,2746,4167,2728,3217,9856,8918,22875,5307,179,184,17545,8340,1342,,0,5307
2013-Q3,3,2013,11634,1684,3870,2571,3259,9025,8360,20660,3772,0,0,16888,8340,633,,0,3772
2013-Q2,2,2013,12077,812,4691,2413,3882,9037,8418,21115,4083,0,0,17031,8340,595,,0,4083
